"date","QUANTITY"
2011-03-01,18
2011-03-02,25
2011-03-03,39
2011-03-04,6
2011-03-05,40
2011-03-06,38
2011-03-07,21
2011-03-08,29
2011-03-09,30
2011-03-10,36
2011-03-11,4
2011-03-12,67
2011-03-13,24
2011-03-14,63
2011-03-15,50
2011-03-16,72
2011-03-17,67
2011-03-18,4
2011-03-19,99
2011-03-20,33
2011-03-21,47
2011-03-22,23
2011-03-23,25
2011-03-24,16
2011-03-25,4
2011-03-26,64
2011-03-27,23
2011-03-28,35
2011-03-29,16
2011-03-30,4
2011-03-31,0
2011-04-01,0
2011-04-02,0
2011-04-03,0
2011-04-04,0
2011-04-05,0
2011-04-06,0
2011-04-07,25
2011-04-08,6
2011-04-09,83
2011-04-10,18
2011-04-11,23
2011-04-12,22
2011-04-13,17
2011-04-14,21
2011-04-15,5
2011-04-16,66
2011-04-17,32
2011-04-18,42
2011-04-19,28
2011-04-20,33
2011-04-21,36
2011-04-22,5
2011-04-23,88
2011-04-24,0
2011-04-25,31
2011-04-26,24
2011-04-27,17
2011-04-28,18
2011-04-29,18
2011-04-30,87
2011-05-01,16
2011-05-02,20
2011-05-03,20
2011-05-04,56
2011-05-05,25
2011-05-06,4
2011-05-07,61
2011-05-08,31
2011-05-09,30
2011-05-10,34
2011-05-11,23
2011-05-12,1
2011-05-13,6
2011-05-14,97
2011-05-15,49
2011-05-16,43
2011-05-17,39
2011-05-18,17
2011-05-19,22
2011-05-20,96
2011-05-21,111
2011-05-22,37
2011-05-23,33
2011-05-24,51
2011-05-25,57
2011-05-26,32
2011-05-27,140
2011-05-28,389
2011-05-29,184
2011-05-30,632
2011-05-31,532
2011-06-01,660
2011-06-02,533
2011-06-03,618
2011-06-04,766
2011-06-05,387
2011-06-06,825
2011-06-07,659
2011-06-08,872
2011-06-09,712
2011-06-10,687
2011-06-11,748
2011-06-12,376
2011-06-13,696
2011-06-14,750
2011-06-15,761
2011-06-16,797
2011-06-17,602
2011-06-18,822
2011-06-19,252
2011-06-20,390
2011-06-21,782
2011-06-22,604
2011-06-23,787
2011-06-24,736
2011-06-25,999
2011-06-26,483
2011-06-27,924
2011-06-28,896
2011-06-29,933
2011-06-30,693
2011-07-01,755
2011-07-02,904
2011-07-03,437
2011-07-04,743
2011-07-05,766
2011-07-06,916
2011-07-07,976
2011-07-08,851
2011-07-09,900
2011-07-10,409
2011-07-11,567
2011-07-12,660
2011-07-13,718
2011-07-14,633
2011-07-15,699
2011-07-16,808
2011-07-17,292
2011-07-18,598
2011-07-19,674
2011-07-20,709
2011-07-21,661
2011-07-22,583
2011-07-23,797
2011-07-24,408
2011-07-25,462
2011-07-26,664
2011-07-27,586
2011-07-28,632
2011-07-29,266
2011-07-30,361
2011-07-31,253
2011-08-01,514
2011-08-02,490
2011-08-03,490
2011-08-04,532
2011-08-05,324
2011-08-06,591
2011-08-07,343
2011-08-08,565
2011-08-09,556
2011-08-10,523
2011-08-11,364
2011-08-12,540
2011-08-13,386
2011-08-14,246
2011-08-15,50
2011-08-16,43
2011-08-17,13
2011-08-18,20
2011-08-19,6
2011-08-20,71
2011-08-21,52
2011-08-22,41
2011-08-23,51
2011-08-24,11
2011-08-25,22
2011-08-26,5
2011-08-27,62
2011-08-28,46
2011-08-29,32
2011-08-30,17
2011-08-31,12
2011-09-01,12
2011-09-02,4
2011-09-03,45
2011-09-04,27
2011-09-05,26
2011-09-06,20
2011-09-07,18
2011-09-08,22
2011-09-09,5
2011-09-10,55
2011-09-11,20
2011-09-12,9
2011-09-13,21
2011-09-14,13
2011-09-15,14
2011-09-16,4
2011-09-17,32
2011-09-18,20
2011-09-19,19
2011-09-20,18
2011-09-21,11
2011-09-22,18
2011-09-23,6
2011-09-24,13
2011-09-25,19
2011-09-26,24
2011-09-27,10
2011-09-28,14
2011-09-29,18
2011-09-30,3
2011-10-01,48
2011-10-02,58
2011-10-03,13
2011-10-04,8
2011-10-05,13
2011-10-06,7
2011-10-07,5
2011-10-08,28
2011-10-09,32
2011-10-10,11
2011-10-11,15
2011-10-12,23
2011-10-13,10
2011-10-14,5
2011-10-15,22
2011-10-16,35
2011-10-17,9
2011-10-18,21
2011-10-19,12
2011-10-20,25
2011-10-21,7
2011-10-22,44
2011-10-23,39
2011-10-24,14
2011-10-25,14
2011-10-26,11
2011-10-27,10
2011-10-28,9
2011-10-29,20
2011-10-30,13
2011-10-31,5
2011-11-01,10
2011-11-02,10
2011-11-03,11
2011-11-04,4
2011-11-05,18
2011-11-06,21
2011-11-07,11
2011-11-08,7
2011-11-09,9
2011-11-10,14
2011-11-11,6
2011-11-12,24
2011-11-13,23
2011-11-14,17
2011-11-15,16
2011-11-16,14
2011-11-17,10
2011-11-18,3
2011-11-19,27
2011-11-20,36
2011-11-21,12
2011-11-22,14
2011-11-23,12
2011-11-24,0
2011-11-25,5
2011-11-26,25
2011-11-27,36
2011-11-28,29
2011-11-29,18
2011-11-30,19
2011-12-01,14
2011-12-02,5
2011-12-03,24
2011-12-04,29
2011-12-05,6
2011-12-06,13
2011-12-07,16
2011-12-08,11
2011-12-09,4
2011-12-10,43
2011-12-11,37
2011-12-12,22
2011-12-13,13
2011-12-14,8
2011-12-15,10
2011-12-16,2
2011-12-17,20
2011-12-18,43
2011-12-19,8
2011-12-20,7
2011-12-21,13
2011-12-22,4
2011-12-23,0
2011-12-24,0
2011-12-25,0
2011-12-26,19
2011-12-27,11
2011-12-28,28
2011-12-29,12
2011-12-30,34
2011-12-31,0
2012-01-01,0
2012-01-02,27
2012-01-03,12
2012-01-04,24
2012-01-05,24
2012-01-06,5
2012-01-07,48
2012-01-08,74
2012-01-09,25
2012-01-10,8
2012-01-11,13
2012-01-12,46
2012-01-13,10
2012-01-14,26
2012-01-15,64
2012-01-16,26
2012-01-17,27
2012-01-18,23
2012-01-19,21
2012-01-20,4
2012-01-21,27
2012-01-22,33
2012-01-23,19
2012-01-24,12
2012-01-25,11
2012-01-26,28
2012-01-27,6
2012-01-28,27
2012-01-29,50
2012-01-30,32
2012-01-31,24
2012-02-01,14
2012-02-02,18
2012-02-03,8
2012-02-04,31
2012-02-05,37
2012-02-06,30
2012-02-07,16
2012-02-08,21
2012-02-09,23
2012-02-10,4
2012-02-11,37
2012-02-12,31
2012-02-13,15
2012-02-14,13
2012-02-15,11
2012-02-16,12
2012-02-17,5
2012-02-18,28
2012-02-19,39
2012-02-20,24
2012-02-21,25
2012-02-22,28
2012-02-23,13
2012-02-24,6
2012-02-25,49
2012-02-26,59
2012-02-27,26
2012-02-28,28
2012-02-29,17
2012-03-01,8
2012-03-02,5
2012-03-03,42
2012-03-04,17
2012-03-05,24
2012-03-06,28
2012-03-07,32
2012-03-08,17
2012-03-09,9
2012-03-10,25
2012-03-11,65
2012-03-12,51
2012-03-13,67
2012-03-14,84
2012-03-15,87
2012-03-16,4
2012-03-17,69
2012-03-18,32
2012-03-19,29
2012-03-20,31
2012-03-21,37
2012-03-22,35
2012-03-23,6
2012-03-24,88
2012-03-25,40
2012-03-26,52
2012-03-27,42
2012-03-28,56
2012-03-29,59
2012-03-30,7
2012-03-31,119
2012-04-01,43
2012-04-02,18
2012-04-03,29
2012-04-04,31
2012-04-05,38
2012-04-06,4
2012-04-07,0
2012-04-08,0
2012-04-09,46
2012-04-10,51
2012-04-11,48
2012-04-12,34
2012-04-13,2
2012-04-14,74
2012-04-15,20
2012-04-16,36
2012-04-17,43
2012-04-18,35
2012-04-19,42
2012-04-20,6
2012-04-21,86
2012-04-22,60
2012-04-23,3
2012-04-24,48
2012-04-25,88
2012-04-26,20
2012-04-27,7
2012-04-28,64
2012-04-29,57
2012-04-30,55
2012-05-01,63
2012-05-02,27
2012-05-03,24
2012-05-04,5
2012-05-05,105
2012-05-06,193
2012-05-07,47
2012-05-08,0
2012-05-09,0
2012-05-10,0
2012-05-11,0
2012-05-12,62
2012-05-13,26
2012-05-14,22
2012-05-15,53
2012-05-16,43
2012-05-17,71
2012-05-18,4
2012-05-19,112
2012-05-20,56
2012-05-21,70
2012-05-22,57
2012-05-23,65
2012-05-24,64
2012-05-25,6
2012-05-26,494
2012-05-27,216
2012-05-28,969
2012-05-29,679
2012-05-30,836
2012-05-31,897
2012-06-01,860
2012-06-02,909
2012-06-03,480
2012-06-04,465
2012-06-05,823
2012-06-06,1046
2012-06-07,1030
2012-06-08,987
2012-06-09,831
2012-06-10,595
2012-06-11,767
2012-06-12,828
2012-06-13,969
2012-06-14,831
2012-06-15,808
2012-06-16,587
2012-06-17,427
2012-06-18,831
2012-06-19,888
2012-06-20,855
2012-06-21,694
2012-06-22,935
2012-06-23,880
2012-06-24,611
2012-06-25,812
2012-06-26,1003
2012-06-27,765
2012-06-28,807
2012-06-29,723
2012-06-30,913
2012-07-01,492
2012-07-02,651
2012-07-03,693
2012-07-04,623
2012-07-05,378
2012-07-06,366
2012-07-07,286
2012-07-08,347
2012-07-09,412
2012-07-10,470
2012-07-11,583
2012-07-12,568
2012-07-13,573
2012-07-14,771
2012-07-15,422
2012-07-16,617
2012-07-17,569
2012-07-18,575
2012-07-19,548
2012-07-20,666
2012-07-21,726
2012-07-22,254
2012-07-23,483
2012-07-24,488
2012-07-25,536
2012-07-26,365
2012-07-27,527
2012-07-28,648
2012-07-29,373
2012-07-30,508
2012-07-31,548
2012-08-01,582
2012-08-02,630
2012-08-03,507
2012-08-04,525
2012-08-05,252
2012-08-06,486
2012-08-07,470
2012-08-08,407
2012-08-09,524
2012-08-10,446
2012-08-11,681
2012-08-12,313
2012-08-13,46
2012-08-14,31
2012-08-15,52
2012-08-16,17
2012-08-17,21
2012-08-18,91
2012-08-19,141
2012-08-20,30
2012-08-21,46
2012-08-22,27
2012-08-23,30
2012-08-24,7
2012-08-25,72
2012-08-26,109
2012-08-27,51
2012-08-28,28
2012-08-29,36
2012-08-30,28
2012-08-31,6
2012-09-01,45
2012-09-02,104
2012-09-03,49
2012-09-04,22
2012-09-05,21
2012-09-06,22
2012-09-07,7
2012-09-08,39
2012-09-09,84
2012-09-10,34
2012-09-11,33
2012-09-12,27
2012-09-13,26
2012-09-14,42
2012-09-15,48
2012-09-16,50
2012-09-17,0
2012-09-18,0
2012-09-19,0
2012-09-20,0
2012-09-21,0
2012-09-22,36
2012-09-23,48
2012-09-24,20
2012-09-25,28
2012-09-26,26
2012-09-27,10
2012-09-28,3
2012-09-29,25
2012-09-30,45
2012-10-01,37
2012-10-02,29
2012-10-03,27
2012-10-04,10
2012-10-05,8
2012-10-06,25
2012-10-07,42
2012-10-08,13
2012-10-09,22
2012-10-10,26
2012-10-11,9
2012-10-12,4
2012-10-13,17
2012-10-14,32
2012-10-15,19
2012-10-16,12
2012-10-17,21
2012-10-18,11
2012-10-19,5
2012-10-20,22
2012-10-21,30
2012-10-22,15
2012-10-23,22
2012-10-24,10
2012-10-25,10
2012-10-26,5
2012-10-27,44
2012-10-28,35
2012-10-29,10
2012-10-30,15
2012-10-31,8
2012-11-01,15
2012-11-02,5
2012-11-03,38
2012-11-04,37
2012-11-05,16
2012-11-06,15
2012-11-07,13
2012-11-08,14
2012-11-09,4
2012-11-10,10
2012-11-11,34
2012-11-12,15
2012-11-13,15
2012-11-14,15
2012-11-15,10
2012-11-16,6
2012-11-17,20
2012-11-18,22
2012-11-19,19
2012-11-20,23
2012-11-21,16
2012-11-22,0
2012-11-23,5
2012-11-24,31
2012-11-25,28
2012-11-26,19
2012-11-27,9
2012-11-28,19
2012-11-29,11
2012-11-30,9
2012-12-01,45
2012-12-02,32
2012-12-03,18
2012-12-04,19
2012-12-05,15
2012-12-06,8
2012-12-07,6
2012-12-08,33
2012-12-09,23
2012-12-10,7
2012-12-11,11
2012-12-12,26
2012-12-13,5
2012-12-14,4
2012-12-15,14
2012-12-16,23
2012-12-17,12
2012-12-18,10
2012-12-19,11
2012-12-20,14
2012-12-21,8
2012-12-22,33
2012-12-23,33
2012-12-24,6
2012-12-25,0
2012-12-26,37
2012-12-27,33
2012-12-28,12
2012-12-29,43
2012-12-30,16
2012-12-31,6
2013-01-01,0
2013-01-02,36
2013-01-03,14
2013-01-04,10
2013-01-05,32
2013-01-06,40
2013-01-07,12
2013-01-08,17
2013-01-09,17
2013-01-10,19
2013-01-11,9
2013-01-12,37
2013-01-13,52
2013-01-14,3
2013-01-15,9
2013-01-16,13
2013-01-17,12
2013-01-18,3
2013-01-19,51
2013-01-20,53
2013-01-21,14
2013-01-22,8
2013-01-23,17
2013-01-24,13
2013-01-25,5
2013-01-26,29
2013-01-27,49
2013-01-28,8
2013-01-29,23
2013-01-30,17
2013-01-31,11
2013-02-01,6
2013-02-02,46
2013-02-03,54
2013-02-04,11
2013-02-05,20
2013-02-06,16
2013-02-07,16
2013-02-08,5
2013-02-09,40
2013-02-10,54
2013-02-11,10
2013-02-12,10
2013-02-13,10
2013-02-14,8
2013-02-15,2
2013-02-16,53
2013-02-17,33
2013-02-18,21
2013-02-19,20
2013-02-20,28
2013-02-21,7
2013-02-22,6
2013-02-23,30
2013-02-24,50
2013-02-25,13
2013-02-26,11
2013-02-27,4
2013-02-28,19
2013-03-01,4
2013-03-02,59
2013-03-03,63
2013-03-04,18
2013-03-05,9
2013-03-06,22
2013-03-07,29
2013-03-08,8
2013-03-09,64
2013-03-10,71
2013-03-11,73
2013-03-12,101
2013-03-13,79
2013-03-14,86
2013-03-15,5
2013-03-16,94
2013-03-17,87
2013-03-18,35
2013-03-19,33
2013-03-20,40
2013-03-21,44
2013-03-22,2
2013-03-23,46
2013-03-24,51
2013-03-25,21
2013-03-26,44
2013-03-27,24
2013-03-28,25
2013-03-29,5
2013-03-30,40
2013-03-31,0
2013-04-01,43
2013-04-02,43
2013-04-03,32
2013-04-04,23
2013-04-05,7
2013-04-06,90
2013-04-07,76
2013-04-08,35
2013-04-09,22
2013-04-10,40
2013-04-11,24
2013-04-12,8
2013-04-13,83
2013-04-14,79
2013-04-15,38
2013-04-16,31
2013-04-17,26
2013-04-18,17
2013-04-19,8
2013-04-20,55
2013-04-21,94
2013-04-22,43
2013-04-23,6
2013-04-24,35
2013-04-25,18
2013-04-26,7
2013-04-27,94
2013-04-28,131
2013-04-29,48
2013-04-30,42
2013-05-01,52
2013-05-02,35
2013-05-03,4
2013-05-04,102
2013-05-05,96
2013-05-06,19
2013-05-07,32
2013-05-08,9
2013-05-09,33
2013-05-10,3
2013-05-11,66
2013-05-12,92
2013-05-13,44
2013-05-14,20
2013-05-15,48
2013-05-16,50
2013-05-17,3
2013-05-18,78
2013-05-19,108
2013-05-20,46
2013-05-21,42
2013-05-22,62
2013-05-23,122
2013-05-24,7
2013-05-25,837
2013-05-26,324
2013-05-27,854
2013-05-28,800
2013-05-29,754
2013-05-30,808
2013-05-31,869
2013-06-01,931
2013-06-02,298
2013-06-03,727
2013-06-04,945
2013-06-05,816
2013-06-06,882
2013-06-07,931
2013-06-08,1142
2013-06-09,569
2013-06-10,929
2013-06-11,1060
2013-06-12,877
2013-06-13,833
2013-06-14,745
2013-06-15,907
2013-06-16,382
2013-06-17,792
2013-06-18,677
2013-06-19,747
2013-06-20,885
2013-06-21,817
2013-06-22,964
2013-06-23,424
2013-06-24,682
2013-06-25,612
2013-06-26,575
2013-06-27,787
2013-06-28,725
2013-06-29,745
2013-06-30,448
2013-07-01,533
2013-07-02,612
2013-07-03,492
2013-07-04,577
2013-07-05,579
2013-07-06,578
2013-07-07,446
2013-07-08,533
2013-07-09,591
2013-07-10,750
2013-07-11,458
2013-07-12,515
2013-07-13,767
2013-07-14,434
2013-07-15,117
2013-07-16,267
2013-07-17,433
2013-07-18,486
2013-07-19,444
2013-07-20,421
2013-07-21,330
2013-07-22,424
2013-07-23,558
2013-07-24,279
2013-07-25,412
2013-07-26,392
2013-07-27,353
2013-07-28,189
2013-07-29,374
2013-07-30,565
2013-07-31,576
2013-08-01,312
2013-08-02,394
2013-08-03,483
2013-08-04,325
2013-08-05,555
2013-08-06,554
2013-08-07,364
2013-08-08,421
2013-08-09,315
2013-08-10,388
2013-08-11,196
2013-08-12,37
2013-08-13,30
2013-08-14,30
2013-08-15,28
2013-08-16,9
2013-08-17,101
2013-08-18,102
2013-08-19,24
2013-08-20,5
2013-08-21,37
2013-08-22,46
2013-08-23,5
2013-08-24,63
2013-08-25,84
2013-08-26,29
2013-08-27,25
2013-08-28,41
2013-08-29,13
2013-08-30,10
2013-08-31,80
2013-09-01,115
2013-09-02,27
2013-09-03,15
2013-09-04,11
2013-09-05,21
2013-09-06,3
2013-09-07,68
2013-09-08,76
2013-09-09,17
2013-09-10,8
2013-09-11,22
2013-09-12,16
2013-09-13,4
2013-09-14,26
2013-09-15,48
2013-09-16,32
2013-09-17,24
2013-09-18,18
2013-09-19,11
2013-09-20,3
2013-09-21,35
2013-09-22,40
2013-09-23,17
2013-09-24,17
2013-09-25,27
2013-09-26,17
2013-09-27,9
2013-09-28,26
2013-09-29,31
2013-09-30,22
2013-10-01,17
2013-10-02,16
2013-10-03,18
2013-10-04,5
2013-10-05,17
2013-10-06,21
2013-10-07,22
2013-10-08,12
2013-10-09,28
2013-10-10,24
2013-10-11,4
2013-10-12,46
2013-10-13,19
2013-10-14,21
2013-10-15,15
2013-10-16,40
2013-10-17,20
2013-10-18,14
2013-10-19,28
2013-10-20,44
2013-10-21,19
2013-10-22,22
2013-10-23,20
2013-10-24,22
2013-10-25,6
2013-10-26,26
2013-10-27,25
2013-10-28,20
2013-10-29,24
2013-10-30,15
2013-10-31,16
2013-11-01,7
2013-11-02,35
2013-11-03,26
2013-11-04,14
2013-11-05,18
2013-11-06,15
2013-11-07,17
2013-11-08,6
2013-11-09,21
2013-11-10,34
2013-11-11,14
2013-11-12,19
2013-11-13,17
2013-11-14,17
2013-11-15,5
2013-11-16,31
2013-11-17,34
2013-11-18,10
2013-11-19,23
2013-11-20,6
2013-11-21,12
2013-11-22,4
2013-11-23,37
2013-11-24,15
2013-11-25,8
2013-11-26,14
2013-11-27,15
2013-11-28,0
2013-11-29,13
2013-11-30,22
2013-12-01,22
2013-12-02,14
2013-12-03,23
2013-12-04,13
2013-12-05,0
2013-12-06,6
2013-12-07,34
2013-12-08,23
2013-12-09,4
2013-12-10,16
2013-12-11,16
2013-12-12,11
2013-12-13,10
2013-12-14,26
2013-12-15,25
2013-12-16,16
2013-12-17,20
2013-12-18,12
2013-12-19,17
2013-12-20,7
2013-12-21,21
2013-12-22,26
2013-12-23,20
2013-12-24,7
2013-12-25,0
2013-12-26,24
2013-12-27,10
2013-12-28,36
2013-12-29,54
2013-12-30,24
2013-12-31,11
2014-01-01,0
2014-01-02,40
2014-01-03,5
2014-01-04,34
2014-01-05,47
2014-01-06,25
2014-01-07,17
2014-01-08,30
2014-01-09,11
2014-01-10,8
2014-01-11,33
2014-01-12,50
2014-01-13,9
2014-01-14,24
2014-01-15,18
2014-01-16,16
2014-01-17,6
2014-01-18,53
2014-01-19,49
2014-01-20,12
2014-01-21,26
2014-01-22,20
2014-01-23,20
2014-01-24,8
2014-01-25,70
2014-01-26,48
2014-01-27,13
2014-01-28,27
2014-01-29,14
2014-01-30,27
2014-01-31,9
2014-02-01,44
2014-02-02,39
2014-02-03,17
2014-02-04,25
2014-02-05,9
2014-02-06,13
2014-02-07,7
2014-02-08,48
2014-02-09,51
2014-02-10,22
2014-02-11,21
2014-02-12,15
2014-02-13,13
2014-02-14,3
2014-02-15,69
2014-02-16,86
2014-02-17,33
2014-02-18,37
2014-02-19,21
2014-02-20,22
2014-02-21,4
2014-02-22,59
2014-02-23,69
2014-02-24,17
2014-02-25,28
2014-02-26,12
2014-02-27,34
2014-02-28,2
2014-03-01,44
2014-03-02,58
2014-03-03,29
2014-03-04,30
2014-03-05,19
2014-03-06,26
2014-03-07,92
2014-03-08,40
2014-03-09,88
2014-03-10,25
2014-03-11,41
2014-03-12,23
2014-03-13,29
2014-03-14,97
2014-03-15,39
2014-03-16,77
2014-03-17,31
2014-03-18,26
2014-03-19,13
2014-03-20,37
2014-03-21,3
2014-03-22,31
2014-03-23,103
2014-03-24,36
2014-03-25,30
2014-03-26,23
2014-03-27,26
2014-03-28,86
2014-03-29,79
2014-03-30,72
2014-03-31,23
